"TIMESTAMP","RECORD","Batt_Volt_Min","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"2023-01-20 16:40:00",0,12.93,314.7,365.3,157.2,380,4.87,28.49,28.64,28.37,0.058,31.09,31.38,30.49,0.296,2.04,3.2,0,0.57,2.854,14.81997,0
"2023-01-20 16:50:00",1,12.86,265.7,289.1,141.5,317.7,4.757,28.76,29.05,28.47,0.103,30.51,31.21,29.88,0.266,1.721,3.95,0,0.827,2.83,874.4398,0
"2023-01-20 17:00:00",2,12.88,184.2,167.9,114.8,208.4,4.582,28.51,28.78,28.1,0.173,31.07,31.95,30.32,0.403,1.945,3.95,0,1.038,2.83,874.4799,0
"2023-01-20 17:10:00",3,12.58,209,381.1,93.9,267.3,4.458,28.37,28.88,28,0.208,31.34,31.82,30.76,0.215,1.809,4.7,0,0.857,2.806,874.4676,0
"2023-01-20 17:20:00",4,12.51,214.5,486.2,93.4,284.2,4.381,28.88,29.06,28.72,0.057,30.95,31.62,30.12,0.261,2.024,4.7,0,0.936,2.757,874.6439,0
"2023-01-20 17:30:00",5,12.38,162.4,453.3,67.84,224.8,4.275,28.47,28.82,28.1,0.152,31.88,32.33,31.34,0.197,2.557,4.7,0,0.794,2.806,874.6563,0
"2023-01-20 17:40:00",6,12.7,114.7,394.3,47.26,171.1,4.182,27.93,28.34,27.69,0.15,32.74,33.28,31.85,0.32,2.729,4.7,0.95,0.767,2.757,874.6407,0
"2023-01-20 17:50:00",7,12.36,78.14,313.5,36.65,123.3,4.118,27.79,27.96,27.56,0.093,33.09,33.66,32.6,0.209,1.915,3.2,0,0.652,2.782,874.639,0
"2023-01-20 18:00:00",8,12.65,48.41,203,26.62,75.68,4.069,27.56,27.76,27.22,0.125,33.47,34.34,32.81,0.332,1.735,3.2,0.95,0.453,2.758,874.6396,0
"2023-01-20 18:10:00",9,12.61,24.17,95.4,15.55,36.47,4.035,27.04,27.39,26.67,0.179,34.85,35.77,33.8,0.461,1.63,2.45,0.95,0.427,2.733,874.6519,0
"2023-01-20 18:20:00",10,12.57,8.89,0.663,6.453,7.687,4.015,26.44,26.81,26.13,0.155,36.37,37.21,35.47,0.4,1.188,2.45,0,0.514,2.685,874.6414,0
"2023-01-20 18:30:00",11,12.6,0.513,0.006,0.029,0.007,3.996,26.04,26.3,25.8,0.101,37.78,38.71,36.8,0.47,0.339,1.7,0,0.457,2.661,874.6794,0
"2023-01-20 18:40:00",12,12.4,0,0.011,0,0,3.993,25.75,25.93,25.59,0.067,38.49,39.12,38.16,0.166,0.336,1.7,0,0.461,2.613,874.743,0
"2023-01-20 18:50:00",13,12.46,0,0.009,0,0,3.994,25.56,25.76,25.29,0.102,39.25,40.86,38.64,0.491,0.054,0.95,0,0.22,2.54,874.7846,0
"2023-01-20 19:00:00",14,12.58,0,0.005,0,0,3.994,24.9,25.42,24.41,0.249,42.02,43.41,40.72,0.615,0.148,1.7,0,0.366,2.661,874.9721,0
"2023-01-20 19:10:00",15,12.01,0,0.01,0,0,3.994,24.19,24.54,23.75,0.172,43.88,44.81,42.87,0.401,0.929,1.7,0,0.524,2.637,875.1767,0
