"TOA5","CR1000-ESOLMET_LOC","CR1000","23644","CR1000.Std.32.05","CPU:20230122_ESOLMET-CR1000.CR1","13936","Tabla_un_min"
"TIMESTAMP","RECORD","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"TS","RN","W/m2","W/m2","W/m2","W/m2","I-UV","Â°C","Â°C","Â°C","Â°C","%","%","%","%","m/s","m/s","m/s","m/s","grados","mbar","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Smp","Avg","Tot"
"2023-01-20 16:32:00",0,256,194.9,149.2,300.6,"NAN",28.89,28.98,28.78,0.045,30.34,30.52,30.08,0.09,2.781,3.95,0,0.648,2.902,15.61519,0
"2023-01-20 16:33:00",1,226.5,129.4,147.2,256.1,"NAN",28.78,28.88,28.68,0.052,30.54,30.9,30.25,0.177,2.925,4.7,1.7,0.596,2.878,874.4561,0
"2023-01-20 16:34:00",2,200.1,64.05,146.1,220.8,"NAN",28.62,28.78,28.51,0.075,31.02,31.44,30.52,0.255,3.762,5.45,2.45,0.77,2.83,874.7722,0
"2023-01-20 16:35:00",3,208.1,88.8,147.1,228.6,"NAN",28.38,28.54,28.27,0.088,31.15,31.54,30.73,0.223,3.825,5.45,2.45,0.584,2.902,874.4493,0
"2023-01-20 16:40:00",0,314.7,365.3,157.2,380,4.87,28.49,28.64,28.37,0.058,31.09,31.38,30.49,0.296,2.04,3.2,0,0.57,2.854,14.81997,0
"2023-01-20 16:41:00",1,305.7,346.5,154.8,368.9,4.855,28.58,28.68,28.47,0.044,30.65,30.97,30.32,0.167,2.063,3.2,0.95,0.573,2.83,874.3798,0
"2023-01-20 16:42:00",2,280.4,289.1,150.2,334.9,4.824,28.65,28.75,28.54,0.052,30.49,30.63,30.29,0.086,1.202,1.7,0,0.56,2.854,874.457,0
"2023-01-20 16:43:00",3,264,261.8,145,312.5,4.793,28.79,28.95,28.71,0.055,30.4,30.69,30.11,0.149,1.352,2.45,0,0.62,2.854,874.3752,0
"2023-01-20 16:44:00",4,278.5,316.1,141.7,334.5,4.782,28.78,28.85,28.71,0.043,30.35,30.49,30.15,0.083,1.281,2.45,0,0.48,2.806,874.3817,0
"2023-01-20 16:45:00",5,268.4,297.4,139.5,323.2,4.759,28.87,28.99,28.71,0.073,30.38,30.59,29.98,0.143,0.924,1.7,0,0.701,2.83,874.466,0
"2023-01-20 16:46:00",6,258.2,277.3,138.3,309.2,4.738,28.9,29.05,28.78,0.063,30.06,30.25,29.88,0.107,1.463,2.45,0.95,0.399,2.854,874.4659,0
"2023-01-20 16:47:00",7,256.6,281.7,137.8,306.7,4.725,28.78,28.88,28.68,0.044,30.45,30.59,30.25,0.085,1.838,2.45,0.95,0.521,2.854,874.463,0
"2023-01-20 16:48:00",8,235.6,225.7,136.6,278.1,4.702,28.74,28.82,28.65,0.039,30.58,30.73,30.32,0.095,1.775,2.45,0.95,0.488,2.806,874.4669,0
"2023-01-20 16:49:00",9,248.9,277.2,135.7,295.4,4.7,28.77,28.85,28.68,0.046,30.89,31.21,30.63,0.147,2.938,3.95,1.7,0.509,2.83,874.47,0
"2023-01-20 16:50:00",10,260.4,317.7,135,313.3,4.688,28.74,28.82,28.61,0.044,30.86,31.04,30.52,0.129,2.377,3.95,0,0.905,2.83,874.4725,0
"2023-01-20 16:51:00",11,263.4,332.8,134.7,318.5,4.677,28.71,28.78,28.65,0.039,30.81,31.21,30.35,0.205,2.788,3.95,0.95,0.69,2.806,874.4681,0
"2023-01-20 16:52:00",12,267.3,355.9,133.7,324.4,4.671,28.67,28.75,28.55,0.042,30.67,31.17,30.32,0.248,2.6,3.95,1.7,0.709,2.854,874.4683,0
"2023-01-20 16:53:00",13,240.2,283.8,130.7,285.3,4.647,28.54,28.65,28.44,0.048,30.55,30.73,30.42,0.081,0.643,1.7,0,0.733,2.806,874.4773,0
"2023-01-20 16:54:00",14,173.6,100.1,123.8,188,4.609,28.59,28.71,28.44,0.052,30.86,31.1,30.66,0.127,1.751,3.2,0,0.974,2.782,874.4721,0
"2023-01-20 16:55:00",15,162,90.6,116.7,171.7,4.584,28.62,28.68,28.51,0.035,30.78,31.07,30.52,0.145,1.813,2.45,0.95,0.451,2.806,874.4755,0
"2023-01-20 16:56:00",16,144,57.82,110,149.2,4.558,28.57,28.65,28.48,0.042,31.18,31.44,30.73,0.225,0.592,1.7,0,0.525,2.854,874.5561,0
"2023-01-20 16:57:00",17,134.3,49.77,104.3,138.3,4.538,28.52,28.61,28.41,0.045,31.27,31.48,31.07,0.099,1.831,3.2,0,0.734,2.806,874.4708,0
"2023-01-20 16:58:00",18,142.4,93.3,100.4,152.1,4.519,28.39,28.51,28.24,0.056,31.42,31.79,31.14,0.129,2.288,3.95,0.95,0.598,2.854,874.4708,0
"2023-01-20 16:59:00",19,153.9,140.4,97.9,172.8,4.511,28.26,28.37,28.13,0.061,31.5,31.78,31.07,0.208,2.925,3.95,2.45,0.432,2.806,874.4731,0
"2023-01-20 17:00:00",20,160.8,174.9,96.2,184.1,4.502,28.18,28.27,28.1,0.038,31.66,31.95,31.24,0.2,2.222,3.95,0,0.929,2.83,874.4672,0
"2023-01-20 17:01:00",21,184.2,261.4,95.4,221.8,4.495,28.13,28.27,28,0.048,31.45,31.75,31.14,0.194,2.925,4.7,0.95,0.81,2.878,874.3859,0
"2023-01-20 17:02:00",22,182.4,261.6,94.4,222.5,4.483,28.15,28.27,28.03,0.043,31.42,31.72,31.24,0.1,1.218,2.45,0,0.573,2.83,874.5427,0
"2023-01-20 17:03:00",23,190.2,300.7,93.2,234,4.48,28.19,28.34,28.1,0.046,31.53,31.72,31.27,0.094,1.538,2.45,0.95,0.435,2.782,874.4662,0
"2023-01-20 17:04:00",24,197.8,332.5,92.4,249.5,4.464,28.26,28.34,28.17,0.041,31.52,31.75,31.24,0.118,1.875,2.45,1.7,0.317,2.806,874.4662,0
"2023-01-20 17:05:00",25,206.7,373.8,92.1,262.7,4.456,28.32,28.41,28.2,0.052,31.45,31.82,31.1,0.155,1.606,2.45,0,0.645,2.806,874.4631,0
"2023-01-20 17:06:00",26,222.2,433.8,92.8,289.1,4.456,28.39,28.48,28.3,0.042,31.16,31.38,30.9,0.113,2.625,3.95,1.7,0.571,2.782,874.4672,0
"2023-01-20 17:07:00",27,230,464.3,93.7,301.3,4.453,28.39,28.48,28.31,0.038,31.3,31.62,30.8,0.244,2.188,3.95,0.95,0.735,2.83,874.4764,0
"2023-01-20 17:08:00",28,234.7,489.1,94.6,310.2,4.439,28.49,28.61,28.37,0.056,31.34,31.61,31.14,0.115,1.813,2.45,0.95,0.545,2.782,874.4714,0
"2023-01-20 17:09:00",29,229.6,475.5,95.3,303.7,4.429,28.63,28.78,28.51,0.068,31.09,31.31,30.93,0.081,1.002,2.45,0,0.861,2.806,874.4672,0
"2023-01-20 17:10:00",30,212.6,418.8,95.5,277.8,4.427,28.79,28.88,28.68,0.054,31.12,31.38,30.76,0.175,1.299,2.45,0,0.568,2.806,874.47,0
"2023-01-20 17:11:00",31,203.1,389.3,95.5,262.8,4.409,28.89,28.99,28.75,0.045,30.83,31.14,30.56,0.157,1.477,3.2,0,0.837,2.83,874.6338,0
"2023-01-20 17:12:00",32,208.9,424.2,95.4,270.6,4.402,28.89,28.99,28.82,0.036,31.01,31.27,30.66,0.154,2,3.2,0.95,0.687,2.806,874.6363,0
"2023-01-20 17:13:00",33,220.3,478,95.5,290.1,4.402,28.86,28.95,28.75,0.049,31.14,31.51,30.39,0.343,2.063,3.2,0.95,0.573,2.782,874.6384,0
"2023-01-20 17:14:00",34,225.5,510.1,95.1,298.4,4.4,28.87,28.95,28.78,0.037,30.92,31.17,30.46,0.188,1.254,3.2,0,0.782,2.806,874.6462,0
"2023-01-20 17:15:00",35,226.9,526.6,94.8,302.8,4.388,28.93,29.02,28.82,0.04,30.77,31.07,30.39,0.188,1.865,3.2,0,0.741,2.733,874.6462,0
"2023-01-20 17:16:00",36,223.1,523.2,94.1,298.2,4.375,28.95,29.06,28.82,0.049,30.6,30.97,30.12,0.268,2.08,3.95,0,1.238,2.782,874.6462,0
"2023-01-20 17:17:00",37,218.1,512.8,93.4,290.9,4.374,28.84,28.96,28.75,0.044,30.94,31.17,30.59,0.131,2.35,3.2,1.7,0.483,2.806,874.6525,0
"2023-01-20 17:18:00",38,212.3,505.8,92.3,283.4,4.364,28.84,28.95,28.72,0.044,31.02,31.17,30.83,0.078,1.747,3.2,0,0.677,2.83,874.6511,0
"2023-01-20 17:19:00",39,206.1,498.6,90.2,275.7,4.348,28.89,28.95,28.78,0.042,31.15,31.45,30.73,0.213,2.022,3.2,0,0.672,2.806,874.6437,0
"2023-01-20 17:20:00",40,200.3,493.8,87.4,269,4.345,28.85,28.92,28.72,0.055,31.07,31.62,30.73,0.187,3.388,4.7,2.45,0.679,2.757,874.6442,0
"2023-01-20 17:21:00",41,191.9,478.5,84.1,257.9,4.326,28.67,28.82,28.54,0.053,31.55,31.72,31.34,0.09,3.125,4.7,1.7,0.746,2.757,874.6383,0
"2023-01-20 17:22:00",42,184.1,469.4,80.1,248.2,4.319,28.59,28.68,28.51,0.04,31.78,32.02,31.48,0.118,3.088,4.7,1.7,0.578,2.782,874.6383,0
"2023-01-20 17:23:00",43,176.9,464.5,76.04,240.1,4.301,28.57,28.68,28.48,0.045,31.91,32.13,31.65,0.098,1.968,3.95,0,1.016,2.806,874.6398,0
