TOA5	Esolmet_CR6_IP	CR6	9884	CR6.Std.12.01	CPU:20230123_Esolmet_CR6.CR6	37906	Table2_10min																	
TIMESTAMP	RECORD	BattV_Min	PTemp_C	I_glob_Avg	I_dir_Avg	I_dif_Avg	I_glob_inc_Avg	Indice_UV_Avg	Indice_UV_1	Indice_UV_2	AirTC_Avg	AirTC_Max	AirTC_Min	AirTC_Std	RH	RH_Max	RH_Min	WS_ms_Avg	WS_ms_Max	WS_ms_Min	WS_ms_Std	WindDir	Rain_mm_Tot	BP_mbar_Avg
TS	RN	Volts	Deg C	W/m2	W/m2	W/m2	W/m2	W/m2	I-UV	MED/hr	Deg C	Deg C	Deg C	Deg C	%	%	%	meters/second	meters/second	meters/second	meters/second	degrees	mm	mbar
		Min	Smp	Avg	Avg	Avg	Avg	Avg	Smp	Smp	Avg	Max	Min	Std	Smp	Max	Min	Avg	Max	Min	Std	Smp	Tot	Avg
23/01/2023 13:30	0	13.55	26.39	-7999	-7999	-7999	-7790	-4.498	-0.122	-2.096	25.28	25.32	25.24	0.024	33.01	33.11	33	0	0	0	0	0.175	0	-56.79334
23/01/2023 13:40	1	13.55	26.48	-7999	-7999	-7999	-7999	-5.553	-0.151	-2.596	25.36	25.41	25.29	0.035	32.69	32.96	32.61	0	0	0	0	0.177	0	-2.432544
23/01/2023 13:50	2	13.57	26.55	-7999	-7999	-7999	-7999	-6.079	-0.156	-2.682	25.45	25.47	25.41	0.015	32.03	32.92	32.03	0	0	0	0	0.174	0	8.454138
23/01/2023 14:00	3	13.54	26.57	-7999	-7999	-7999	-7999	-6.133	-0.156	-2.681	25.47	25.49	25.45	0.012	32.01	32.15	31.71	0	0	0	0	0.173	0	10.70647
23/01/2023 14:10	4	13.55	26.62	-7999	-7999	-7999	-7999	-6.184	-0.157	-2.695	25.48	25.5	25.46	0.009	32.34	32.38	31.93	0	0	0	0	0.176	0	11.33269
23/01/2023 14:20	5	13.55	26.63	-7999	-7999	-7999	-7999	-6.214	-0.159	-2.727	25.49	25.52	25.46	0.016	31.76	32.46	31.56	0	0	0	0	0.177	0	11.67764
23/01/2023 14:30	6	13.56	26.61	-7999	-7999	-7999	-7999	-6.152	-0.155	-2.657	25.45	25.49	25.4	0.024	31.25	31.82	31.2	0	0	0	0	0.173	0	11.72403
23/01/2023 14:40	7	13.55	26.57	-7999	-7999	-7999	-7999	-6.036	-0.152	-2.615	25.37	25.41	25.33	0.021	31.24	31.31	30.58	0	0	0	0	0.176	0	11.61022
23/01/2023 14:50	8	13.56	26.54	-7999	-7999	-7999	-7999	-5.953	-0.151	-2.587	25.3	25.34	25.27	0.016	30.69	31.08	30.53	0	0	0	0	0.174	0	11.39336
23/01/2023 15:00	9	13.56	26.52	-7999	-7999	-7999	-7999	-5.925	-0.15	-2.577	25.23	25.28	25.2	0.02	31.25	31.26	30.42	0	0	0	0	0.179	0	11.1882
23/01/2023 15:10	10	13.56	26.53	-7999	-7999	-7999	-7999	-5.933	-0.152	-2.606	25.21	25.24	25.19	0.013	30.23	31.21	29.75	0	0	0	0	0.177	0	11.06267
23/01/2023 15:20	11	13.55	26.57	-7999	-7999	-7999	-7999	-6.008	-0.154	-2.647	25.24	25.27	25.22	0.018	30.41	30.54	30.08	0	0	0	0	0.177	0	11.05687
23/01/2023 15:30	12	13.56	26.62	-7999	-7999	-7999	-7999	-6.118	-0.157	-2.691	25.3	25.33	25.27	0.018	30.37	30.67	30.37	0	0	0	0	0.177	0	11.16575
23/01/2023 15:40	13	13.55	26.67	-7999	-7999	-7999	-7999	-6.215	-0.159	-2.727	25.35	25.37	25.33	0.013	30.59	30.74	30.18	0	0	0	0	0.177	0	11.35246
23/01/2023 15:50	14	13.56	26.73	-7999	-7999	-7999	-7999	-6.28	-0.161	-2.764	25.39	25.42	25.37	0.015	29.69	30.52	29.3	0	0	0	0	0.175	0	11.56221
23/01/2023 16:00	15	13.56	26.76	-7999	-7999	-7999	-7999	-6.326	-0.161	-2.762	25.4	25.41	25.37	0.01	28.79	29.47	28.67	0	0	0	0	0.177	0	11.75091
23/01/2023 16:10	16	13.57	26.77	-7999	-7999	-7999	-7999	-6.297	-0.16	-2.742	25.41	25.44	25.39	0.012	28.81	29.14	28.57	0	0	0	0	0.174	0	11.92038
23/01/2023 16:20	17	13.55	26.79	-7999	-7999	-7999	-7999	-6.292	-0.161	-2.76	25.43	25.45	25.4	0.013	29.33	29.44	28.86	0	0	0	0	0.177	0	11.98847
23/01/2023 16:30	18	13.56	26.82	-7999	-7999	-7999	-7999	-6.326	-0.161	-2.756	25.43	25.45	25.42	0.01	29.11	29.45	28.94	0	0	0	0	0.177	0	12.07373
23/01/2023 16:40	19	13.55	26.84	-7999	-7999	-7999	-7999	-6.322	-0.161	-2.758	25.44	25.46	25.4	0.012	29.72	29.72	29.2	0	0	0	0	0.175	0	12.16411
23/01/2023 16:50	20	13.56	26.87	-7999	-7999	-7999	-7999	-6.335	-0.163	-2.792	25.46	25.5	25.43	0.018	29.35	29.67	29.28	0	0	0	0	0.178	0	12.29914
23/01/2023 17:00	21	13.55	26.93	-7999	-7999	-7999	-7999	-6.456	-0.165	-2.829	25.53	25.59	25.48	0.032	29.64	29.64	29.34	0	0	0	0	0.177	0	12.3766
23/01/2023 17:10	22	13.54	26.99	-7999	-7999	-7999	-7999	-6.5	-0.164	-2.818	25.63	25.68	25.59	0.024	28.81	29.8	28.81	0	0	0	0	0.175	0	12.72929
23/01/2023 17:20	23	13.54	27.02	-7999	-7999	-7999	-7999	-6.495	-0.166	-2.854	25.7	25.74	25.64	0.03	29.04	29.04	28.5	0	0	0	0	0.177	0	12.98971
23/01/2023 17:30	24	13.54	27.06	-7999	-7999	-7999	-7999	-6.559	-0.167	-2.867	25.8	25.84	25.76	0.025	29.27	29.34	29	0	0	0	0	0.177	0	13.20755
23/01/2023 17:40	25	13.54	27.1	-7999	-7999	-7999	-7999	-6.578	-0.168	-2.882	25.86	25.88	25.81	0.017	29.33	29.36	29.13	0	0	0	0	0.18	0	13.46268
23/01/2023 17:50	26	13.53	27.14	-7999	-7999	-7999	-7999	-6.605	-0.168	-2.877	25.9	25.94	25.87	0.019	29.71	29.76	29.41	0	0	0	0	0.178	0	13.67477
23/01/2023 18:00	27	13.54	27.17	-7999	-7999	-7999	-7999	-6.601	-0.169	-2.89	25.95	25.98	25.92	0.018	29.89	29.89	29.71	0	0	0	0	0.176	0	13.89208
26/01/2023 18:50	0	13.53	26.41	-7999	-7999	-7999	-4975	-0.1	-4.003	-1.717	25.25	25.26	25.23	0.01	28.14	28.17	27.91	0	0	0	0	0.191	0	-53.34752
26/01/2023 19:00	1	13.54	26.34	-7999	-7999	-7999	-6313	-0.1	-4.004	-1.717	25.21	25.23	25.17	0.014	29.08	29.08	28.11	0	0	0	0	0.188	0	-2.393646
27/01/2023 12:20	2	13.04	24.26	-7999	-7999	-7999	-7999	-0.1	-4.008	-1.719	-212.1	-162.2	-255.3	30.11	-209	-120.3	-209	0	0	0	0	0.197	0	260.0796
27/01/2023 12:30	3	12.92	24.51	-7999	-7999	-7999	-7999	-0.1	-4.007	-1.718	-348	-269.8	-412.7	44.49	-372.4	-223.7	-372.4	0	0	0	0	0.194	0	89.80283
27/01/2023 12:40	4	12.92	24.69	-7999	-7999	-7999	-7999	-0.1	-4.007	-1.718	-456.9	-421.7	-483.2	19.14	-456.1	-382	-456.5	0	0	0	0	0.193	0	22.14191
27/01/2023 12:50	5	12.93	24.82	-7999	-7999	-7999	-7999	-0.1	-4.007	-1.718	-495.7	-484.7	-504.4	5.6	-486.2	-460.9	-487.9	0	0	0	0	0.191	0	7.993539
07/02/2023 10:50	6	12.88	24.78	-7999	-7999	-7999	-7999	-0.1	-4.009	-1.719	-221.6	-109.9	-317.7	64.38	-272	-68.1	-272	0	0	0	0	0.193	0	262.0342
07/02/2023 11:00	7	12.88	25.3	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.719	-392.5	-330.1	-441.9	35.12	-405.8	-284.9	-405.8	0	0	0	0	0.183	0	57.68311
07/02/2023 11:10	8	12.88	25.72	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.719	-472.4	-449.4	-490	12.59	-465.8	-413.7	-466.9	0	0	0	0	0.178	0	18.1065
07/02/2023 11:20	9	12.88	26.02	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-496.9	-489.5	-502.7	3.591	-484.4	-468.9	-486.5	0	0	0	0	0.177	0	10.30126
07/02/2023 11:30	10	12.88	26.25	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-502.8	-499.7	-505.5	1.979	-488.7	-485.2	-491.1	0	0	0	0	0.178	0	9.226141
07/02/2023 11:40	11	12.87	26.44	-7999	-7999	-7999	-7999	-0.1	-4.01	-1.72	-503.7	-501.7	-505.7	1.925	-489.1	-488.9	-491.6	0	0	0	0	0.176	0	9.521143
07/02/2023 11:50	12	12.91	26.62	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-503.5	-501.3	-505.6	1.95	-488.5	-488.5	-491.6	0	0	0	0	0.166	0	10.03187
07/02/2023 12:00	13	12.91	26.81	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-502.9	-500.6	-505.1	1.962	-487.5	-487.5	-490.9	0	0	0	0	0.166	0	10.74245
07/02/2023 12:10	14	12.9	26.93	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-502.1	-499.9	-504.4	1.957	-486.6	-486.6	-489.9	0	0	0	0	0.169	0	11.3907
07/02/2023 12:20	15	12.91	27	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-501.6	-499.5	-503.7	1.942	-486	-486	-489	0	0	0	0	0.167	0	11.77402
07/02/2023 12:30	16	12.92	27.09	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-501.2	-499.1	-503.3	1.941	-485.5	-485.5	-488.5	0	0	0	0	0.167	0	12.14749
07/02/2023 12:40	17	12.91	27.17	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-500.8	-498.7	-503	1.941	-484.9	-484.9	-487.9	0	0	0	0	0.169	0	12.48127
07/02/2023 12:50	18	12.92	27.2	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-500.6	-498.6	-502.6	1.931	-484.6	-484.6	-487.4	0	0	0	0	0.169	0	12.51536
07/02/2023 13:00	19	12.91	27.3	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-500.4	-498.2	-502.5	1.942	-484.2	-484.2	-487.1	0	0	0	0	0.169	0	12.64359
07/02/2023 13:10	20	12.91	27.39	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-499.9	-497.8	-502.1	1.945	-483.6	-483.6	-486.7	0	0	0	0	0.167	0	13.23675
07/02/2023 13:20	21	12.91	27.48	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-499.5	-497.3	-501.6	1.943	-483	-483	-486.1	0	0	0	0	0.168	0	13.63928
07/02/2023 13:30	22	12.92	27.57	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-499	-496.9	-501.2	1.943	-482.3	-482.3	-485.5	0	0	0	0	0.166	0	14.10074
07/02/2023 13:40	23	12.9	27.65	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-498.5	-496.4	-500.7	1.942	-481.7	-481.7	-484.8	0	0	0	0	0.182	0	14.5476
07/02/2023 13:50	24	12.91	27.67	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-498.2	-496.1	-500.2	1.933	-481.3	-481.3	-484.2	0	0	0	0	0.181	0	14.9013
07/02/2023 14:00	25	12.91	27.68	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-498	-496	-499.9	1.928	-481.1	-481.1	-483.8	0	0	0	0	0.182	0	15.04349
07/02/2023 14:10	26	12.9	27.69	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.9	-495.9	-499.9	1.927	-481	-481	-483.7	0	0	0	0	0.18	0	15.07671
07/02/2023 14:20	27	12.91	27.71	-7999	-7999	-7999	-7999	-0.1	-4.011	-1.72	-497.8	-495.9	-499.8	1.924	-481	-481	-483.6	0	0	0	0	0.182	0	15.14215
