"TIMESTAMP","RECORD","BattV_Min","PTemp_C","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","Indice_UV_1","Indice_UV_2","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","Rain_mm_Tot","BP_mbar_Avg"
"2023-03-14 18:10:00",0,12.96,28.33,43.93,0,37.58,40.27,0.003,0.104,0.045,27.24,27.25,27.23,0.008,25.81,25.81,25.73,1.25,2.5,0,1.25,0,0,830.2823
"2023-03-14 18:20:00",1,12.92,28.2,31.29,0,26.62,27.92,0,0.072,0.031,27.2,27.23,27.14,0.026,26.21,26.21,25.87,1.834,2.475,1.45,0.24,0,0,1015.464
"2023-03-14 18:30:00",2,12.91,28.03,18.69,0,15.64,15.5,-0.003,0.043,0.018,27.05,27.15,26.88,0.08,26.96,27.01,25.71,1.994,2.8,1.525,0.366,0,0,1015.497
"2023-03-14 18:40:00",3,12.92,27.8,7.32,0,5.333,4.084,-0.001,0.024,0.01,26.76,26.85,26.67,0.047,27.57,27.57,26.94,1.015,2.275,0,0.841,0,0,1015.621
"2023-03-14 18:50:00",4,12.91,27.49,0.394,0,0.003,0,-0.002,0.012,0.005,26.61,26.65,26.54,0.026,28.06,28.07,27.44,1.917,2.6,0.75,0.529,0,0,1015.861
"2023-03-14 19:00:00",5,12.87,27.22,0,0.015,0,0,-0.001,0.009,0.004,26.48,26.54,26.37,0.048,28.84,28.84,28.16,2.641,3.825,1.825,0.574,0,0,1016.153
"2023-03-14 19:10:00",6,10.89,26.98,0,0,0,0,-0.009,-0.002,-0.001,26.13,26.35,25.92,0.138,30.22,30.25,28.95,3.56,4.425,2.025,0.659,0,0,1016.28
"2023-03-14 19:20:00",7,10.89,26.79,0,0.001,0,0,-0.004,-0.12,-0.051,25.9,25.96,25.79,0.059,30.8,30.84,30.19,2.641,4.125,1.85,0.595,0,0,1016.399
"2023-03-14 19:30:00",8,10.91,26.61,0,0,0,0,-0.002,0.026,0.011,25.55,25.79,24.98,0.279,34.8,34.8,30.8,3.507,5.175,1.975,1.013,0,0,1016.759
"2023-03-14 19:40:00",9,10.91,26.33,0,0,0,0,-0.014,0.003,0.001,24.44,24.93,24.1,0.239,37.79,37.79,34.99,4.499,6.25,2.65,0.969,0,0,1017.011
"2023-03-14 19:50:00",10,10.87,25.95,0,0,0,0,-0.008,0.008,0.004,23.99,24.08,23.91,0.051,37.53,37.87,37.34,4.589,5.625,3,0.687,0,0,1017.293
"2023-03-14 20:00:00",11,10.84,25.57,0,0,0,0,-0.005,0.013,0.006,23.87,23.9,23.83,0.021,36.81,37.45,36.76,4.631,5.8,3.275,0.703,0,0,1017.681
"2023-03-14 20:10:00",12,10.76,25.28,0,0.028,0,0,-0.006,0.008,0.004,23.88,23.9,23.86,0.013,36.54,36.89,36.41,4.684,5.725,3.725,0.609,0,0,1017.996
"2023-03-14 20:20:00",13,10.74,25.11,0,0.141,0,0,-0.007,0.004,0.002,24.08,24.2,23.92,0.094,36.47,36.64,36.29,5.158,6.1,3.775,0.624,0,0,1018.18
"2023-03-14 20:30:00",14,10.72,25.05,0,0.012,0,0,-0.008,-1.422,-0.61,24.09,24.21,23.68,0.138,40.92,40.92,36.36,3.789,5.45,2.2,0.782,0.001,0,1018.342
"2023-03-14 20:40:00",15,10.7,24.88,0,0,0,0,-0.014,0.009,0.004,23.18,23.56,23.04,0.153,43.67,43.67,41.63,3.69,5.45,1.5,1.11,0,0,1018.565
"2023-03-14 20:50:00",16,10.67,24.58,0,0,0,0,-0.005,0.008,0.003,22.71,23.02,22.4,0.199,47.39,47.39,43.94,2.027,3.075,0.275,0.675,0,0,1018.966
"2023-03-14 21:00:00",17,10.67,24.17,0,0,0,0,-0.012,-0.002,-0.001,22.16,22.39,22.01,0.12,48.94,48.98,47.46,1.928,3.125,0.9,0.617,0,0,1019.231
"2023-03-14 21:10:00",18,10.67,23.73,0,0,0,0,-0.009,0.004,0.002,21.91,21.98,21.79,0.053,48.9,49.09,48.77,1.569,2.725,0.225,0.617,0,0,1019.512
"2023-03-14 21:20:00",19,10.68,23.3,0,0,0,0,-0.017,0.009,0.004,21.72,21.8,21.66,0.037,48.64,49.05,48.57,0.656,1.775,0,0.598,0.001,0,1019.668
"2023-03-14 21:30:00",20,10.69,22.89,0,0,0,0,-0.038,0.006,0.003,21.62,21.67,21.54,0.039,49.26,49.39,48.66,0.076,0.825,0,0.201,0,0,1019.749
"2023-03-14 21:40:00",21,10.68,22.52,0,0.01,0,0,-0.092,-4,-1.715,21.62,21.66,21.57,0.023,48.91,49.04,48.63,0.566,1.45,0,0.51,0,0,1019.739
"2023-03-14 21:50:00",22,10.66,22.26,0,0.008,0,0,-0.1,-4,-1.715,21.63,21.66,21.59,0.022,48.56,48.96,48.39,0.748,1.175,0,0.291,0,0,1019.747
"2023-03-14 22:00:00",23,10.64,22.05,0,0.002,0,0,-0.1,-4,-1.715,21.59,21.66,21.52,0.039,49.64,49.64,48.55,0.718,1.45,0.225,0.324,0,0,1019.684
"2023-03-14 22:10:00",24,10.65,21.89,0,0.135,0,0,-0.1,-4,-1.715,21.47,21.62,21.35,0.084,48.95,50.24,48.95,1.731,2.625,1,0.359,0,0,1019.537
"2023-03-14 22:20:00",25,10.65,21.82,0,0.052,0,0,-0.1,-4,-1.715,21.71,21.76,21.62,0.042,48.33,48.95,48.31,1.121,1.7,0.4,0.372,0,0,1019.585
"2023-03-14 22:30:00",26,10.63,21.77,0,0.045,0,0,-0.1,-4,-1.715,21.7,21.76,21.64,0.036,48.63,48.87,48.36,1.311,2.05,0.45,0.369,0,0,1019.595
"2023-03-14 22:40:00",27,10.64,21.75,0,0.019,0,0,-0.1,-4,-1.715,21.65,21.72,21.48,0.075,49.24,49.24,48.56,1.22,2,0.825,0.328,0,0,1019.536
"2023-03-14 22:50:00",28,10.63,21.72,0,0.001,0,0,-0.1,-4,-1.715,21.41,21.49,21.32,0.062,49.79,50.03,49.24,1.655,2.025,1.45,0.143,0.042,0,1019.454
"2023-03-14 23:00:00",29,10.64,21.7,0,0.055,0,0,-0.1,-4,-1.715,21.44,21.55,21.34,0.069,48.77,49.95,48.66,1.59,1.975,0.9,0.314,0,0,1019.399
"2023-03-14 23:10:00",30,10.64,21.73,0,0.113,0,0,-0.1,-4,-1.715,21.57,21.6,21.51,0.022,48.73,48.81,48.49,1.736,2.075,1.25,0.215,0,0,1019.334
"2023-03-14 23:20:00",31,10.63,21.8,0,0.104,0,0,-0.1,-4,-1.715,21.46,21.51,21.39,0.033,48.04,48.98,48.04,2.234,3.15,1.6,0.328,0,0,1019.313
"2023-03-14 23:30:00",32,10.64,21.9,0,0.114,0,0,-0.1,-4,-1.715,21.63,21.66,21.53,0.035,47.29,47.99,47.29,2.331,3.025,1.725,0.337,0,0,1019.323
"2023-03-14 23:40:00",33,10.64,21.99,0,0,0,0,-0.1,-4,-1.715,21.45,21.64,21.38,0.069,47.63,47.97,47.47,1.928,2.95,1.4,0.383,0,0,1019.333
"2023-03-14 23:50:00",34,10.64,22.03,0,0.009,0,0,-0.1,-4,-1.715,21.33,21.49,21.2,0.091,47.35,48.47,47.35,1.988,2.625,1.475,0.338,0,0,1019.274
"2023-03-15 00:00:00",35,10.64,22.06,0,0.021,0,0,-0.1,-4,-1.715,21.46,21.51,21.4,0.028,46.6,47.37,46.58,2.129,2.45,1.825,0.166,0,0,1019.11
"2023-03-15 00:10:00",36,10.62,22.09,0,0.048,0,0,-0.1,-4,-1.715,21.56,21.68,21.5,0.055,45.49,46.71,45.49,2.168,2.55,1.15,0.325,0,0,1019.04
"2023-03-15 00:20:00",37,10.61,22.16,0,0.081,0,0,-0.1,-4,-1.715,21.77,21.83,21.71,0.033,45.08,45.58,44.85,2.463,3.125,1.925,0.353,0,0,1019.038
"2023-03-15 00:30:00",38,10.62,22.24,0,0.02,0,0,-0.1,-4,-1.715,21.76,21.8,21.7,0.029,44.89,45.21,44.69,2.097,3,1.225,0.481,0,0,1019.071
"2023-03-15 00:40:00",39,10.6,22.29,0,0.04,0,0,-0.1,-4,-1.715,21.84,21.94,21.76,0.05,46.15,46.15,44.19,1.301,4,0,1.315,0,0,1019.225
"2023-03-15 00:50:00",40,10.6,22.31,0,0.01,0,0,-0.1,-4,-1.715,21.38,21.75,21.16,0.204,49.58,49.58,46.54,3.556,5.825,2.375,0.891,0,0,1019.395
"2023-03-15 01:00:00",41,10.6,22.27,0,0,0,0,-0.1,-4,-1.715,21.01,21.12,20.93,0.06,50.12,50.12,49.5,2.416,3.95,1.725,0.572,0,0,1019.411
"2023-03-15 01:10:00",42,10.59,22.15,0,0,0,0,-0.1,-4,-1.715,20.81,20.94,20.73,0.062,50.72,50.91,50,2.069,3.975,0.6,1.017,0,0,1019.407
"2023-03-15 01:20:00",43,10.6,22.03,0,0,0,0,-0.1,-4,-1.715,20.69,20.81,20.57,0.075,52.51,52.51,50.71,0.763,1.7,0,0.609,0,0,1019.542
"2023-03-15 01:30:00",44,10.6,21.87,0,0,0,0,-0.1,-4,-1.715,20.36,20.56,20.29,0.079,53.21,53.22,52.57,0.974,2.175,0,0.56,0,0,1019.506
"2023-03-15 01:40:00",45,10.6,21.67,0,0,0,0,-0.1,-4,-1.715,20.26,20.31,20.18,0.037,53.54,53.54,52.72,0.548,1.275,0,0.361,0,0,1019.452
"2023-03-15 01:50:00",46,10.6,21.47,0,0,0,0,-0.1,-4,-1.715,20.16,20.19,20.12,0.019,53.36,53.59,53.22,0.151,0.925,0,0.289,0,0,1019.4
