"TOA5","Esolmet_CR6_IP","CR6","9884","CR6.Std.12.01","CPU:20230313_Esolmet_CR6.CR.CR6","45008","Table3_1min"
"TIMESTAMP","RECORD","BattV","PTemp_C","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","Indice_UV_Avg","Indice_UV_1","Indice_UV_2","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","BP_mbar_Avg","Rain_mm_Tot"
"TS","RN","Volts","Deg C","W/m2","W/m2","W/m2","W/m2","W/m2","I-UV","MED/hr","Deg C","Deg C","Deg C","Deg C","%","%","%","meters/second","meters/second","meters/second","meters/second","degrees","mbar","mm"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Max","Min","Std","Smp","Max","Min","Avg","Max","Min","Std","Smp","Avg","Tot"
"2023-03-14 18:10:00",0,12.96,28.33,43.93,0,37.58,40.27,0.003,0.104,0.045,27.24,27.25,27.23,0.008,25.81,25.81,25.73,1.25,2.5,0,1.25,0,830.2823,0
"2023-03-14 18:11:00",1,12.95,28.32,41.54,0,35.16,38.02,-0.013,-1.151,-0.494,27.23,27.23,27.22,0.006,25.96,25.96,25.92,2.15,2.475,1.825,0.325,0,1015.45,0
"2023-03-14 18:12:00",2,12.95,28.31,39.2,0,32.98,35.72,0,-0.11,-0.047,27.22,27.23,27.21,0.01,25.93,26.08,25.93,2.125,2.15,2.1,0.025,0,1015.481,0
"2023-03-14 18:13:00",3,12.97,28.29,36.68,0,30.93,33.13,0.002,0.1,0.043,27.22,27.22,27.21,0.006,26.08,26.08,26.06,1.7,1.725,1.675,0.025,0,1015.466,0
"2023-03-14 18:14:00",4,12.94,28.28,34.11,0,28.78,30.56,0.002,0.095,0.041,27.22,27.22,27.21,0.006,25.92,26.01,25.92,1.8,1.85,1.75,0.05,0,1015.468,0
"2023-03-14 18:15:00",5,12.95,28.27,31.7,0,26.65,28.08,0.002,0.09,0.039,27.19,27.2,27.18,0.012,26.04,26.04,26.02,1.625,1.65,1.6,0.025,0,1015.456,0
"2023-03-14 18:16:00",6,12.94,28.26,27.98,0,25,25.89,0.002,0.087,0.037,27.2,27.22,27.19,0.013,26.16,26.16,25.87,1.762,1.775,1.75,0.012,0,1015.453,0
"2023-03-14 18:17:00",7,12.93,28.25,27.09,0,23.41,23.97,0.002,0.083,0.036,27.18,27.18,27.17,0.006,26.11,26.11,26.02,1.488,1.525,1.45,0.038,0,1015.504,0
"2023-03-14 18:18:00",8,12.94,28.23,26.06,0,22.12,22.35,0.002,0.078,0.033,27.18,27.19,27.18,0.002,26.2,26.2,26.1,1.913,2,1.825,0.087,0,1015.461,0
"2023-03-14 18:19:00",9,12.95,28.22,24.77,0,21,21.19,0.002,0.075,0.032,27.16,27.17,27.16,0.004,25.94,25.96,25.94,2.075,2.1,2.05,0.025,0,1015.455,0
"2023-03-14 18:20:00",10,12.92,28.2,23.76,0,20.12,20.26,0.002,0.072,0.031,27.15,27.16,27.14,0.01,26.21,26.21,25.95,1.7,1.7,1.7,0,0,1015.452,0
"2023-03-14 18:21:00",11,12.92,28.19,22.91,0,19.38,19.41,0.002,0.064,0.027,27.15,27.15,27.14,0.01,26.05,26.05,25.71,2.15,2.3,2,0.15,0,1015.479,0
"2023-03-14 18:22:00",12,12.91,28.17,22.09,0,18.69,18.81,0.002,0.065,0.028,27.14,27.15,27.14,0.004,26.26,26.26,26.2,1.863,2.2,1.525,0.337,0,1015.463,0
"2023-03-14 18:23:00",13,12.93,28.16,21.37,0,17.97,17.84,-0.012,0.063,0.027,27.12,27.12,27.11,0.005,26.18,26.23,26.18,1.7,1.85,1.55,0.15,0,1015.467,0
"2023-03-14 18:24:00",14,12.93,28.14,20.46,0,17.22,17.24,0.002,0.06,0.026,27.09,27.1,27.08,0.012,26.34,26.34,26.19,1.788,1.825,1.75,0.038,0,1015.482,0
