"TOA5","CR3000-EXT","CR3000","9996","CR3000.Std.32.02","CPU:20230316_ESOLMET_CR3000.CR3","33176","_10_Min"
"TIMESTAMP","RECORD","CRBattVolt_Avg","GLOBHORZ_Avg","DNI_Avg","DIFFHORZ_Avg","GLOBTT_Avg","Indice_UV_Avg","Indice_UV_1_Avg","Indice_UV_2_Avg","AT_Avg","AT_Max","AT_Min","AT_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_Avg","WS_Max","WS_Min","WS_Std","WD","BP_Avg","PPT_Tot"
"TS","RN","VDC","W/m^2","W/m^2","W/m^2","W/m^2","W/m2","I-UV","MED/hr","DegC","DegC","DegC","DegC","PCT","PCT","PCT","PCT","m/s","m/s","m/s","m/s","Deg","mbar","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Smp","Avg","Tot"
"2023-03-16 13:20:00",0,13.28,1018.074,951.787,91.99321,1060.522,0.165,6.62,2.839,"NAN","NAN","NAN","NAN",-184.8,306.4,-508.1,258.1,0,0,0,0,0,953.2108,0
"2023-03-16 13:30:00",1,13.28,1016.735,954.969,92.08179,1061.368,0.174,6.965,2.986,"NAN","NAN","NAN","NAN",-68.07,391.3,-515.9,279.7,0,0,0,0,0,944.5106,0
"2023-03-16 13:40:00",2,13.28,1002.537,948.4156,93.02406,1047.295,0.165,6.583,2.823,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,944.3027,0
"2023-03-16 13:50:00",3,13.28,978.7353,924.5295,95.71689,1020.998,0.149,5.946,2.55,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,944.0878,0
"2023-03-16 14:00:00",4,13.28,971.7283,934.66,95.86325,1013.563,0.154,6.176,2.648,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,943.8206,0
"2023-03-16 14:10:00",5,13.28,957.8427,929.7748,97.29599,999.3194,0.15,6.008,2.576,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,943.4741,0
"2023-03-16 14:20:00",6,13.27,924.5582,897.5634,103.5203,967.8049,0.138,5.504,2.36,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,943.2393,0
"2023-03-16 14:30:00",7,13.22,929.2377,908.2692,109.2256,972.132,0.125,4.987,2.139,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,942.9827,0
"2023-03-16 14:40:00",8,13.14,897.1008,906.6448,105.7229,936.7601,0.109,4.366,1.872,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,942.7202,0
"2023-03-16 14:50:00",9,13.06,862.4761,890.9193,103.9504,902.9994,0.117,4.672,2.004,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,942.4805,0
"2023-03-16 15:00:00",10,13.01,834.4662,864.2864,113.3327,873.7944,0.108,4.326,1.855,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,942.2484,0
"2023-03-16 15:10:00",11,12.97,751.2386,771.4239,124.7981,782.5637,0.077,3.063,1.314,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,942.1097,0
"2023-03-16 15:20:00",12,12.93,607.4196,587.5024,132.327,632.6191,0.068,2.714,1.164,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.9034,0
"2023-03-16 15:30:00",13,12.96,764.7971,794.5002,151.2753,798.2156,0.076,3.041,1.304,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.7102,0
"2023-03-16 15:40:00",14,12.95,526.1701,443.9393,165.3727,539.3235,0.06,2.382,1.022,"NAN","NAN","NAN","NAN",-124.6,342.9,-465.9,229.1,0,0,0,0,0,941.5502,0
"2023-03-16 15:50:00",15,13.01,787.705,845.6945,188.1109,817.0725,0.062,2.466,1.058,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.5343,0
"2023-03-16 16:00:00",16,13.02,745.601,839.5681,179.7477,772.1158,0.054,2.15,0.922,"NAN","NAN","NAN","NAN",-216.7,179.5,-457.9,132.7,0,0,0,0,0,941.4836,0
"2023-03-16 16:10:00",17,13.07,741.9575,811.5905,213.0629,767.3508,0.048,1.933,0.829,"NAN","NAN","NAN","NAN",-186.3,300.9,-426.7,162,0,0,0,0,0,941.594,0
"2023-03-16 16:20:00",18,13.04,322.5372,126.5322,194.4901,323.7865,0.024,0.966,0.414,"NAN","NAN","NAN","NAN",-152.9,281.6,-495.1,211.2,0,0,0,0,0,941.6313,0
"2023-03-16 16:30:00",19,13.03,569.6078,662.8722,170.0477,598.4539,0.024,0.98,0.42,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.7516,0
"2023-03-16 16:40:00",20,12.97,478.7801,520.6337,172.2264,493.223,0.022,0.884,0.379,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.6631,0
"2023-03-16 16:50:00",21,12.89,358.3007,376.4726,152.2123,361.895,0.013,0.521,0.223,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.7305,0
"2023-03-16 17:00:00",22,12.87,447.1663,719.934,122.3749,466.2908,0.011,0.456,0.196,"NAN","NAN","NAN","NAN",-138.6,381.4,-532.1,301.7,0,0,0,0,0,941.7417,0
"2023-03-16 17:10:00",23,12.83,388.9145,703.0277,97.47025,409.851,0.003,0.137,0.059,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.6902,0
"2023-03-16 17:20:00",24,12.83,348.205,673.967,96.54454,365.4275,0.001,0.033,0.014,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,941.7379,0
