"TIMESTAMP","RECORD","BattV_Min","PTemp_C","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","I_uv_Avg","Indice_UV_1","Indice_UV_2","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","Rain_mm_Tot","CS106_PB_Avg"
"2023-03-16 14:20:00",0,13.38,32.94,913,877,111.7,945,0.165,6.396,2.743,29.07,29.16,29.01,0.058,27.68,28.42,27.47,2.555,4.15,0,1.445,0,0,942.1903
"2023-03-16 14:30:00",1,13.36,33.06,929,909,109,972,0.165,6.468,2.774,29.36,29.67,28.84,0.249,29.39,29.39,27.94,3.696,5.6,1.85,1.169,0,0,1016.321
"2023-03-16 14:40:00",2,13.35,33.34,896,906,105.8,936,0.155,6.088,2.611,29.25,29.45,28.87,0.16,27.82,29.14,27.36,4.49,6.6,2.025,1.568,0,0,1016.068
"2023-03-16 14:50:00",3,13.34,33.51,862,890,104.1,902,0.144,5.578,2.392,29.27,29.46,28.84,0.155,27.17,28.33,27.16,4.007,6.725,1.8,1.309,0,0,1015.876
"2023-03-16 15:00:00",4,13.31,33.74,833,862,113.8,873,0.131,5.005,2.146,29.71,30.11,29.41,0.206,27.43,27.71,26.63,3.86,5.925,0.9,1.451,0,0,1015.667
"2023-03-16 15:10:00",5,13.27,33.93,760.5,781.7,125.2,791.5,0.12,4.843,2.077,29.31,29.55,29.16,0.118,27.08,27.94,26.03,3.474,5.4,1.7,1.008,0,0,1015.512
"2023-03-16 15:20:00",6,13.17,34.01,596.7,575,132.2,622.6,0.097,4.1,1.758,29.99,30.3,29.54,0.169,26.91,26.95,25.74,3.748,6.825,0.475,1.542,0,0,1015.747
"2023-03-16 15:30:00",7,13.31,34.14,740.1,757.8,151.8,776.1,0.099,2.7,1.158,30.02,30.36,29.85,0.162,26.73,26.9,25.6,5.046,10.18,0.575,2.649,0,0,1015.188
"2023-03-16 15:40:00",8,13.22,34.27,540.6,461,165.6,556.2,0.082,3.595,1.542,29.88,30.25,29.72,0.128,26.37,26.96,25.9,3.494,5,1.9,0.886,0,0,1015.032
"2023-03-16 15:50:00",9,13.28,34.38,787.4,846,188.7,817,0.087,3.347,1.435,30.45,30.72,30.3,0.106,25.1,26.22,24.59,4.071,6.8,2.55,1.05,0,0,1015.006
"2023-03-16 16:00:00",10,13.28,34.75,744.6,839,179.9,771.2,0.078,2.971,1.274,30.55,31.17,30.23,0.264,23.38,25.44,23.2,3.319,5.05,1.125,1.074,0,0,1014.953
"2023-03-16 16:10:00",11,13.28,35.11,741.1,810,213.5,766.8,0.069,2.502,1.073,30.51,31.35,30.03,0.373,26.39,26.39,22.77,3.511,5.8,2.125,1.054,0,0,1015.059
