"TIMESTAMP","RECORD","BattV_Min","PTemp_C","I_glo_Avg","I_dir_Avg","I_dif_Avg","I_glo_inc_Avg","I_uv_Avg","Indice_UV_1","Indice_UV_2","I_UVA_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","Rain_mm_Tot","CS106_PB_Avg"
"2023-05-31 19:00:00",0,10.64,30.33,9.46,10.85,7.205,6.575,0,0.017,0.007,0.354,27.75,27.78,27.72,0.023,60.46,60.46,60.1,0,0,0,0,344.7,0,641.4001
"2023-05-31 19:10:00",1,10.65,29.99,8.28,1.209,6.596,5.335,0,0.014,0.006,0.154,27.52,27.53,27.5,0.016,60.98,61.05,60.79,0,0,0,0,325.8,0,641.4002
"2023-05-31 19:20:00",2,10.64,29.67,0.937,3.795,0.305,0,0,0.01,0.004,0.036,27.48,27.48,27.48,0.001,60.98,60.98,60.66,0,0,0,0,325,0,641.3995
"2023-05-31 19:30:00",3,10.65,29.39,0,4.217,0,0,0,0.01,0.004,0.001,27.27,27.27,27.27,0,61.18,61.18,61.18,0,0,0,0,324.9,0,641.4
"2023-05-31 19:40:00",4,10.63,29.11,0,3.655,0,0,0,0.01,0.004,0.001,27.14,27.29,27.01,0.085,61.51,61.91,60.77,0,0,0,0,328.3,0,641.4001
"2023-05-31 19:50:00",5,10.61,28.86,0,5.9,0,0,0,0.01,0.004,0.001,26.97,27,26.94,0.013,61.01,61.85,60.88,0,0,0,0,306.1,0,641.4
"2023-05-31 20:00:00",6,10.58,28.63,0,8.99,0,0,0,0.012,0.005,0.001,27.02,27.11,26.9,0.07,60.84,60.86,59.83,0,0,0,0,341.5,0,641.4002
"2023-05-31 20:10:00",7,10.5,28.45,0,11.79,0,0,0,0.011,0.005,0,26.84,26.87,26.78,0.027,61.32,61.32,60.32,0,0,0,0,329.4,0,641.4001
"2023-05-31 20:20:00",8,10.32,28.27,0,11.35,0,0,0,0.01,0.004,0.001,26.71,26.74,26.68,0.02,61.42,61.6,61.08,0,0,0,0,339.5,0,641.4003
"2023-05-31 20:30:00",9,10.2,28.1,0,4.474,0,0,0,0.011,0.005,0,26.62,26.67,26.6,0.018,61.9,62.61,61.36,0,0,0,0,16.99,0,641.3997
"2023-05-31 20:40:00",10,9.85,27.92,0,6.347,0,0,0,0.011,0.005,0,26.63,26.69,26.57,0.046,61.23,61.67,60.95,0,0,0,0,340,0,641.3999
"2023-05-31 20:50:00",11,9.43,27.75,0,9.44,0,0,0,0.01,0.004,0.001,26.57,26.61,26.5,0.032,60.67,61.47,60.66,0,0,0,0,293.6,0,641.3998
"2023-05-31 21:00:00",12,8.68,27.62,0,8.75,0,0,0,0.012,0.005,0.001,26.57,26.61,26.55,0.017,61.26,61.92,60.72,0,0,0,0,317.5,0,641.4
"2023-05-31 21:10:00",13,8.63,27.5,0,9.78,0,0,0,0.01,0.004,0,26.33,26.4,26.25,0.048,62.97,62.97,61.93,0,0,0,0,4.002,0,641.4001
"2023-05-31 21:20:00",14,8.56,27.34,0,0,0,0,0,0.012,0.005,0,25.78,25.94,25.63,0.102,65.26,65.37,63.98,0,0,0,0,316.5,0,641.3996
"2023-05-31 21:30:00",15,8.62,27.14,0,0.228,0,0,0,0.012,0.005,0.001,25.56,25.58,25.54,0.013,64.05,65.14,64.05,0,0,0,0,327.5,0,641.3999
"2023-05-31 21:40:00",16,8.6,26.96,0,4.398,0,0,0,0.012,0.005,0,25.42,25.45,25.37,0.026,65.4,65.75,65.05,0,0,0,0,332.5,0,641.4003
"2023-05-31 21:50:00",17,8.56,26.77,0,0,0,0,0,0.01,0.004,0,25.21,25.27,25.19,0.027,65.08,66.42,65.08,0,0,0,0,336.5,0,641.3997
"2023-06-01 07:40:00",18,8.53,23.26,1626,1823,1400,763,-0.089,-4,-1.715,43.16,24.17,25.04,23.45,0.514,71.04,75.94,71.04,0,0,0,0,58.93,0,641.4007
"2023-06-01 07:50:00",19,8.79,24.05,0,0,0,0,-0.1,-4,-1.715,0,25.24,25.58,24.97,0.203,67.78,69.94,67.54,0,0,0,0,107.9,0,641.4006
"2023-06-01 08:00:00",20,8.93,24.88,0,0,0,0,-0.1,-4,-1.715,0,25.63,25.97,25.25,0.237,66.41,68.61,65.9,0,0,0,0,57.63,0,641.4005
"2023-06-01 08:10:00",21,8.85,25.72,0,0,0,0,-0.1,-4,-1.715,0,26.57,26.75,26.31,0.169,64.62,65.62,63.74,0,0,0,0,171.8,0,641.4
