TOA5,Esolmet_CR6_IP,CR6.Std.12.01,CPU:20230531_Esolmet_CR6.CR6,58573,,,,,,,,,,,,,,
TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Avg,AirTC_Avg,AirTC_Max,AirTC_Min,AirTC_Std,RH,RH_Max,RH_Min,WS_ms_Avg,WS_ms_Max,WS_ms_Min,WS_ms_Std,WindDir,CS106_PB_Avg,Rain_mm_Tot
TS,RN,W/m2,W/m2,W/m2,Deg C,Deg C,Deg C,Deg C,%,%,%,meters/second,meters/second,meters/second,meters/second,degrees,mbar,mm
,,Avg,Avg,Avg,Avg,Max,Min,Std,Smp,Max,Min,Avg,Max,Min,Std,Smp,Avg,Tot
01/06/2023 12:50,4,1016,686.8,264.4,31.8,32.13,31.51,0.189,45.3,47.09,44.14,2.209,3.95,0.3,1.031,164.4,1016.061,0
01/06/2023 13:00,5,1004,676.1,264.4,31.18,31.48,30.86,0.199,46.18,46.96,44.5,2.768,4.15,1.925,0.525,154.6,1015.915,0
01/06/2023 13:10,6,1013,657.1,297.9,31.72,32.84,31.17,0.476,42.11,46,42.11,1.468,3.3,0,1.054,57.96,1015.787,0
01/06/2023 13:20,7,1012,651.8,303.1,32.77,33.05,32.08,0.264,41.98,43.15,40.87,1.916,2.825,0.625,0.637,99.4,1015.608,0
01/06/2023 13:30,8,952,553.8,327,32.23,32.85,31.67,0.403,41.93,43.29,40.57,1.184,2.1,0,0.532,313.3,1015.456,0
01/06/2023 13:40,9,677.9,299.9,308.8,31.64,32.52,31.01,0.438,45.05,45.73,41.55,2.155,3.55,0.8,0.908,72.7,1015.293,0
01/06/2023 13:50,10,613.9,222,320.7,31.75,32.04,31.17,0.271,43.33,45.66,41.95,2.166,4.2,0.575,1.041,115.1,1015.153,0
01/06/2023 14:00,11,713.8,323.1,325.2,32.05,32.34,31.85,0.117,43.3,44.28,42.03,1.865,2.85,0.425,0.769,136.5,1015.087,0
01/06/2023 14:10,12,701.5,336.4,314.7,32.79,32.94,32.46,0.121,40.73,43.41,39.83,2.406,3.875,1.35,0.735,167.9,1014.963,0
01/06/2023 14:20,13,328.9,3.226,273.9,32.27,32.72,31.98,0.198,40.7,42.66,40.17,1.95,4.025,0,1.039,16.82,1014.89,0
01/06/2023 14:30,14,364.7,9,297.3,32.45,32.66,32.22,0.132,41.4,41.61,39.91,1.869,4.325,0.3,1.251,247.1,1014.771,0
01/06/2023 14:40,15,614.2,243.4,325.6,32.22,32.38,31.98,0.119,41.09,41.91,40.03,3.072,5.3,0.5,1.182,235.6,1014.625,0
01/06/2023 14:50,16,580.3,224.2,322.6,32.33,32.58,32.09,0.143,40.99,41.81,40.4,2.803,4.1,0.9,0.846,155.5,1014.471,0
