"TOA5","Esolmet_CR6_IP","CR6","9884","CR6.Std.12.01","CPU:20230531_Esolmet_CR6.CR6","61732","TableWEB_10min"
"TIMESTAMP","RECORD","I_dir_Avg","I_glo_Avg","I_dif_Avg","I_glo_inc_Avg","I_uv_Avg","I_UVA_Avg","AirTC_Avg","RH","WS_ms_Avg","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"TS","RN","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","Deg C","%","meters/second","degrees","mbar","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Avg","Smp","Avg","Tot"
"2023-06-01 12:10:00",0,0,0,0,0,-0.306,0,30.17,48.88,0,129.3,641.4004,0
"2023-06-01 12:20:00",1,0,0,0,0,-0.314,0,30.69,47.28,0,48.86,641.4002,0
"2023-06-01 12:30:00",2,0,0,0,0,-0.344,0,31.32,46.12,0,121.2,641.4003,0
"2023-06-01 12:40:00",3,602.9,931,258.3,828,0.199,56.65,31.44,45.84,1.825,47.25,996.5848,0
"2023-06-01 12:50:00",4,686.8,1016,264.4,902,0.209,60.12,31.8,45.3,2.209,164.4,1016.061,0
"2023-06-01 13:00:00",5,676.1,1004,264.4,894,0.205,59.24,31.18,46.18,2.768,154.6,1015.915,0
"2023-06-01 13:10:00",6,657.1,1013,297.9,897,0.202,58.69,31.72,42.11,1.468,57.96,1015.787,0
"2023-06-01 13:20:00",7,651.8,1012,303.1,895,0.198,58.31,32.77,41.98,1.916,99.4,1015.608,0
"2023-06-01 13:30:00",8,553.8,952,327,845,0.179,53.17,32.23,41.93,1.184,313.3,1015.456,0
"2023-06-01 13:40:00",9,299.9,677.9,308.8,601.1,0.147,42.92,31.64,45.05,2.155,72.7,1015.293,0
"2023-06-01 13:50:00",10,222,613.9,320.7,547.5,0.135,39.52,31.75,43.33,2.166,115.1,1015.153,0
"2023-06-01 14:00:00",11,323.1,713.8,325.2,637.3,0.151,45.49,32.05,43.3,1.865,136.5,1015.087,0
"2023-06-01 14:10:00",12,336.4,701.5,314.7,624.1,0.139,43.12,32.79,40.73,2.406,167.9,1014.963,0
"2023-06-01 14:20:00",13,3.226,328.9,273.9,291.8,0.087,26.47,32.27,40.7,1.95,16.82,1014.89,0
"2023-06-01 14:30:00",14,9,364.7,297.3,335.8,0.084,26.56,32.45,41.4,1.869,247.1,1014.771,0
"2023-06-01 14:40:00",15,243.4,614.2,325.6,557.6,0.104,34.77,32.22,41.09,3.072,235.6,1014.625,0
"2023-06-01 14:50:00",16,224.2,580.3,322.6,522.8,0.106,35.94,32.33,40.99,2.803,155.5,1014.471,0
"2023-06-01 15:00:00",17,402.1,728.7,325.9,649.8,0.113,40.28,32.61,40.88,3.366,153.5,1014.344,0
"2023-06-01 15:10:00",18,487.7,756.9,303.7,685,0.105,38.99,32.74,39.13,1.805,53.22,1014.23,0
"2023-06-01 15:20:00",19,307.8,558.5,265.5,500.1,0.087,32.61,33.49,40.11,1.469,160.2,1014.09,0
"2023-06-01 15:30:00",20,275.6,499.3,241.1,459.5,0.071,27.46,33.23,40.36,1.982,155.9,1013.987,0
"2023-06-01 15:40:00",21,0,116.9,99.7,116.2,0.024,9.52,32.46,41.88,1.864,153.3,1013.91,0
"2023-06-01 15:50:00",22,0,90.9,78.36,86.8,0.018,7.503,32.1,41.88,1.507,101.3,1013.801,0
"2023-06-01 16:00:00",23,0.083,123.5,106.6,115.4,0.023,9.77,31.95,42.08,1.924,273.1,1013.619,0
"2023-06-01 16:10:00",24,0.749,167.6,145.1,150.1,0.027,12.27,31.91,41.92,1.158,174.6,1013.692,0
"2023-06-01 16:20:00",25,14,176.9,147.4,165,0.026,11.98,32.18,42.75,0.917,139.2,1013.784,0
"2023-06-01 16:30:00",26,5.402,150.1,127,143.7,0.022,11.01,32.23,41.28,1.754,158.5,1013.563,0
"2023-06-01 16:40:00",27,16.57,146.5,125.9,139.3,0.02,10.55,32.15,41.25,1.316,240,1013.481,0
"2023-06-01 16:50:00",28,2.952,142.8,123.7,134.9,0.019,10.23,32.08,45.04,0.911,328.9,1013.492,0
"2023-06-01 17:00:00",29,12.4,151.2,130.7,135.9,0.018,10.66,31.11,46.03,2.286,315.1,1013.312,0
"2023-06-01 17:10:00",30,224.5,305.1,180.8,255.1,0.021,14.01,31.12,46.28,2.93,308,1013.213,0
"2023-06-01 17:20:00",31,282.1,342.2,201.5,286.9,0.019,13.96,31.55,45.01,2.396,323.7,1013.359,0
"2023-06-01 17:30:00",32,28.81,194.8,158.8,168.8,0.014,10.97,31.69,45.91,1.453,62.5,1013.417,0
"2023-06-01 17:40:00",33,64.89,164,126.7,143,0.01,8.49,31.72,43.83,1.125,60.77,1013.477,0
"2023-06-01 17:50:00",34,25.18,107.1,85.1,91.7,0.007,6.357,31.89,43.66,0.381,23.76,1013.484,0
"2023-06-01 18:00:00",35,13.02,69.34,57.79,62.46,0.005,4.564,31.72,42.88,0.945,14.45,1013.539,0
"2023-06-01 18:10:00",36,13.44,38.23,32.42,32.67,0.003,2.93,31.66,43.38,0.169,40.31,1013.54,0
"2023-06-01 18:20:00",37,6.925,33.24,27.92,27.42,0.002,2.179,31.44,44.17,0.459,33.99,1013.618,0
"2023-06-01 18:30:00",38,29.08,41.03,33.97,34.03,0.001,1.617,31.39,43.84,1.354,17.63,1013.734,0
"2023-06-01 18:40:00",39,25.27,49.6,34.14,43.32,0.001,1.366,30.03,64.88,0.98,344.4,1013.902,0
"2023-06-01 18:50:00",40,23.25,29.25,22.16,29.46,0.001,0.727,28.05,64.76,1.381,350.2,1013.987,0
"2023-06-01 19:00:00",41,0.395,34.84,29.47,33.92,0.001,0.535,27.52,71.91,1.455,321.3,987.848,0
"2023-06-01 19:10:00",42,0.228,28.39,24.34,29.27,0,0.353,27.45,68.08,1.538,54.75,1014.062,0
"2023-06-01 19:20:00",43,0.393,6.057,5.673,8.13,0,0.117,28.54,59.87,1.531,41.25,1014.14,0
"2023-06-01 19:30:00",44,0.175,0,0.021,0.412,0,0.02,29.05,62.72,1.201,351.3,1014.187,0
"2023-06-01 19:40:00",45,0.04,0,0,0,0,0.002,28.67,66.82,1.421,338,1014.131,0
"2023-06-01 19:50:00",46,0.026,0,0,0,0,0.001,28.25,61.65,1.461,33.11,1014.368,0
"2023-06-01 20:00:00",47,0.047,0,0,0,0,0,28.19,65.53,1.106,32.68,1014.556,0
"2023-06-01 20:10:00",48,0.049,0,0,0,0,0.001,28.02,66.55,1.574,0.154,1014.685,0
"2023-06-01 20:20:00",49,0,0,0,0,0,0,27.6,67.04,0.963,5.749,1014.747,0
"2023-06-01 20:30:00",50,0,0,0,0,0,0,27.43,67.54,1.158,325.8,1014.941,0
"2023-06-01 20:40:00",51,0,0,0,0,0,0,26.99,72.17,1.626,338.1,1015.078,0
"2023-06-01 20:50:00",52,0.008,0,0,0,0,0,26.78,70,1.31,345.9,1015.301,0
"2023-06-01 21:00:00",53,0.018,0.047,0,0.002,0,0,26.8,70.33,1.191,309.6,1015.494,0
"2023-06-01 21:10:00",54,0,1.634,0,0,0,0,26.44,76.02,0.528,26.63,1015.667,0
"2023-06-01 21:20:00",55,0.154,0,0,2.086,0,0,26.07,76.31,0.07,137.9,1015.704,0
"2023-06-01 21:30:00",56,0.405,0,0,2.593,0,0,26.15,78.74,0.724,0.149,1015.937,0
"2023-06-01 21:40:00",57,0.124,0,0,2.861,0,0,25.67,77.68,0.551,300.6,1016.133,0
"2023-06-01 21:50:00",58,0.14,0,0,3.93,0,0,25.74,69.1,1.396,305.3,1016.231,0
"2023-06-01 22:00:00",59,0.226,0,0,3.537,0,0,26.52,63.88,1.876,326.8,1016.348,0
"2023-06-01 22:10:00",60,0.04,0,0,0.93,0,0,26.35,65.65,1.441,322.3,1016.474,0
"2023-06-01 22:20:00",61,0.022,0,0,0.123,0,0,25.85,70.8,1.779,330.3,1016.483,0
"2023-06-01 22:30:00",62,0.008,0,0,0,0,0,25.14,69.61,2.299,349.4,1016.375,0
"2023-06-01 22:40:00",63,0.004,0,0,0,0,0,24.96,71.03,1.97,338.6,1016.307,0
"2023-06-01 22:50:00",64,0.018,0,0,0,0,0,25.16,68.79,1.744,333.9,1016.329,0
"2023-06-01 23:00:00",65,0.017,0,0,0,0,0,25.09,70.76,1.926,4.451,1016.349,0
